"teacher" "v1" "v2" "v3" "v4" "v5" "v6"
"787" 1 1 1 1 1 1 1
"788" 1 1 1 1 2 1 1
"789" 1 1 1 1 1 1 3
"790" 1 1 1 1 1 1 1
"791" 1 1 1 1 5 1 1
"792" 1 1 1 1 1 1 1
"793" 1 1 1 1 1 1 1
"794" 1 1 1 1 2 1 1
"795" 1 1 1 2 4 2 1
"796" 1 1 1 3 1 1 3
"797" 1 2 2 1 3 2 2
"798" 1 1 1 1 1 1 1
"799" 1 1 1 1 3 1 1
"800" 1 1 1 1 3 1 1
"801" 2 1 1 2 3 2 1
"802" 2 3 3 3 3 1 1
"803" 2 1 1 3 1 1 1
"804" 2 1 1 1 1 1 1
"805" 2 1 1 1 1 1 1
"806" 2 1 3 3 4 1 1
"807" 2 1 1 1 3 1 1
"808" 2 1 1 3 3 1 1
"809" 2 1 5 2 1 1 1
"810" 2 1 1 1 1 1 1
"811" 2 1 1 1 2 1 1
"812" 2 1 1 1 2 1 2
